Name,Description,Status,Star Count,Pull Count,Last Updated,Low - Fixable,Low - No Fix,Medium - Fixable,Medium - No Fix,High - Fixable,High - No Fix,Critical - Fixable,Critical - No Fix,Unspecified - Fixable,Unspecified - No Fix
aerospike:ee-6,,,-1,-1,,0,31,0,0,0,0,0,1,0,0
archlinux,,,-1,-1,,0,0,4,0,3,0,0,0,2,0
clearlinux,,,-1,-1,,0,0,0,0,0,0,0,0,0,0
consul:1,,,-1,-1,,1,1,7,3,4,0,1,0,2,0
docker-dev:1,,,-1,-1,,372,212,665,49,87,16,3,0,0,0
elasticsearch:8,,,-1,-1,,1,11,3,2,3,1,0,0,1,0
gazebo,,,-1,-1,,5,85,27,120,15,3,1,0,0,0
ibm-semeru-runtimes:open-20-jdk,,,-1,-1,,3,14,2,1,0,0,0,0,0,0
ibm-semeru-runtimes:open-20-jre,,,-1,-1,,3,14,2,1,0,0,0,0,0,0
ibmjava,,,-1,-1,,3,12,2,2,0,0,0,0,0,0
java:9-b149-jre,,,-1,-1,,198,0,149,0,174,0,78,0,3,0
jenkins:2,,,-1,-1,,12,1,133,4,84,1,40,1,2,0
jobber,,,-1,-1,,1,0,21,0,42,0,4,0,3,0
kibana:8,,,-1,-1,,0,12,2,3,1,0,0,0,1,0
logstash:8,,,-1,-1,,1,11,12,1,4,1,1,0,2,0
notary:server,,,-1,-1,,1,0,8,0,15,0,0,0,3,0
notary:signer,,,-1,-1,,1,0,8,0,14,0,0,0,3,0
nuxeo,,,-1,-1,,80,118,262,107,239,56,58,4,6,3
odoo,,,-1,-1,,5,63,18,4,25,0,8,1,8,1
oraclelinux:9,,,-1,-1,,0,0,13,0,11,0,0,0,0,0
percona,,,-1,-1,,21,34,149,19,25,1,0,0,0,1
php-zendserver,,,-1,-1,,0,0,2,0,1,0,0,0,4,0
rocket,,,-1,-1,,5,28,21,1,31,2,5,3,13,0
rockylinux:9,,,-1,-1,,2,0,0,0,4,0,0,0,0,0
sentry,,,-1,-1,,8,0,34,0,44,2,14,0,8,0
silverpeas,,,-1,-1,,5,41,76,51,63,3,40,0,5,0
sl,,,-1,-1,,0,0,0,0,0,0,0,0,0,0
sourcemage,,,-1,-1,,0,0,0,0,0,0,0,0,0,0
swarm,,,-1,-1,,0,0,0,0,0,0,0,0,0,0
teamspeak,,,-1,-1,,0,0,0,0,1,0,0,0,1,0
thrift,,,-1,-1,,26,0,14,0,0,0,0,0,0,0
vault:1,,,-1,-1,,0,1,10,1,5,0,0,0,3,0
websphere-liberty,,,-1,-1,,3,12,2,1,0,0,0,0,0,0
